category	descript
REST	The bread is top notch as well.
REST	I have to say they have one of the fastest delivery times in the city.
REST	Food is always fresh and hot- ready to eat!
REST	Did I mention that the coffee is OUTSTANDING?
REST	Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.
MISC	I trust the people at Go Sushi, it never disappoints.
REST	Straight-forward, no surprises, very decent Japanese food.
REST	BEST spicy tuna roll, great asian salad.
REST	Try the rose roll (not on menu).
REST	I love the drinks, esp lychee martini, and the food is also VERY good.
REST	In fact, this was not a Nicoise salad and was barely eatable.
REST	While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.
REST	Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.
REST	Our waiter was horrible; so rude and disinterested.
REST	The sangria's - watered down.
REST	menu - uneventful, small.
REST	Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.
REST	Great food but the service was dreadful!
REST	The portions of the food that came out were mediocre.
REST	the two waitress's looked like they had been sucking on lemons.
MISC	From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.
REST	We enjoyed ourselves thoroughly and will be going back for the desserts ....
REST	Desserts are almost incredible: my personal favorite is their Tart of the Day.
MISC	I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.
MISC	Maybe the secret was that we went on a Sunday night and everything was great.
REST	The food was extremely tasty, creatively presented and the wine excellent.
MISC	WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.
MISC	WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.
REST	THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
REST	Harumi Sushi has the freshest and most delicious array of sushi in NYC.
REST	I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.
REST	If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.
REST	I definitely enjoyed the food as well.
MISC	have always had a great time here.
REST	It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.
MISC	You will be very happy with the experience.
REST	The food is surprisingly good, and the decor is nice.
REST	How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!
REST	Two wasted steaks -- what a crime!
REST	The staff should be a bit more friendly.
MISC	I absolutely suggest this place.
REST	I think the meatball parm is good.
REST	If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.
REST	Definitely try the taglierini with truffles - it was incredible.
REST	Also, the staff is very attentive and really personable.
MISC	Overall, this is a great new restaurant that has been consistently good every time I have been.
REST	The gnocchi literally melts in your mouth!
REST	Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.
REST	Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.
REST	The food is good, the teriyaki I recommend.
REST	Meal was very expensive for what you get.
REST	Try the Peanut Butter Sorbet and the pizza with soy cheese!
REST	Good food at the right price, what more can you ask for.
MISC	We love it, and took buses and cabs to get there.
MISC	If you' re in New York, you do not want to miss this place.
REST	The food is top notch, the service is attentive, and the atmosphere is great.
MISC	I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.
REST	Great food, great waitstaff, great atmosphere, and best of all GREAT beer!
