id	category	descript
0	MISC	I absolutely Loved this place.
1	MISC	i would just ask for no oil next time.
2	MISC	We had a good time.
3	PAS	Bill a little high, but worth it.
4	FOOD	The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.
5	PAS	The one up front will smile and say What can I get for you, brother?
6	PAS	Ambiance- relaxed and stylish.
7	FOOD	The food was very good, a great deal, and the place its self was great.
8	MISC	There was a small wait, but shorter than I expected.
9	MISC	Seriously, this place kicks ass.
10	FOOD	The wait staff is friendly, and the food has gotten better and better!
11	FOOD	The sushi seemed pretty fresh and was adequately proportioned.
12	FOOD	If it isn't for the food (A+++), it must be the service or the ambience.
13	PAS	We were seated outside and the waiter spilled red wine and hot tea on myself and my date.
14	FOOD	Taj Mahal offeres gret value and great food.
15	FOOD	While the prices are nothing special, the portions are huge.
16	PAS	Given the incredible architecture surrounding it, this place has no character.
17	MISC	But, hey, there is anything better with a decent vegetarian selection in Astoria.
18	FOOD	However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.
19	PAS	We all felt it was worth it.
20	MISC	I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.
21	FOOD	The food is great and reasonably priced.
22	MISC	I recommend it!
23	PAS	Service was also horrible and the ambience is not that great.
24	FOOD	Try the hot dogs too, they're snappy and delicious.
25	FOOD	I got the $10 10-piece dim sum combo, every bite of which was great.
26	PAS	Our waiter and all of the people helping him were attentive and genuine.
27	FOOD	Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.
28	PAS	PERFECT FOR DATES!
29	MISC	My wife and I were in NYC celebrating our 30th anniversary.
30	MISC	It's to die for!
31	FOOD	The service is excellent, the decor is great, and the food is delicious and comes in large portions.
32	FOOD	Frites were delicious if a bit on the thick side.
33	PAS	And Kruno, the beverage manager is the best bartender I have yet to come across.
34	FOOD	I would like to return and try some of the other menu items when I don't have to rush off to a show.
35	FOOD	We ended the dinner with a surprisingly light and flaky apple tarte tatin.
36	MISC	Katz's has been a NYC original for over 100 years.
37	MISC	I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.
38	FOOD	All the desserts the group tried got favorable reviews.
39	MISC	Go there to relax and feel like your somewhere else.
40	MISC	In fact, you can't miss it.
41	PAS	The characters really make for an enjoyable experience.
42	FOOD	Ballato's is consistently delicious authentic italian food.
43	MISC	This is a great Thai restaurant with a very friendly staff.
44	FOOD	I'm partial to the Gnocchi.
45	FOOD	With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.
46	MISC	It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.
47	MISC	For some reason the place was empty when we got in and remained so for the entire evening, I don't understand why but we had a blast and will definately go back the next time we are in the area.
48	MISC	It's one of our favorite places to eat in NY.
49	MISC	My boyfriend and I were in NY for a few days and Pastis was a place that came recommended.
50	PAS	Good, fast service.
51	MISC	Overall A oh ya even though there is waiting it is deff worth it
52	PAS	Service was slow, but the people were friendly.
53	FOOD	The food is o.k., but not any better than what you get at a good neighborhood restaurant.
54	PAS	The service was friendly and the atmosphere was casual.
55	MISC	Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.
56	FOOD	One should not go to Lucky Strike for the food.
57	FOOD	All my co-workers were amazed at how small the dish was.
58	PAS	To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.
59	MISC	I have eaten a lot of pizza here.
60	FOOD	From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.
61	FOOD	Try ordering from the regular menu, then you would not regret!
62	FOOD	.the best I've found outside of the Chinatown masters.
63	FOOD	Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.
64	PAS	The service is not consistently excellent -- just decent.
65	PAS	Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.
66	MISC	get over it!
67	MISC	Great find!!!
68	FOOD	Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.
69	PAS	Spice is sleek, modern and cool with a menu that will not hurt your wallet.
70	PAS	The wait staff is very friendly, if not overly efficient.
71	PAS	Service- friendly and attentive.
72	FOOD	The wine list is also really nice.
73	FOOD	I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.
74	FOOD	The best burger I have had in the Village.
75	MISC	Go only if you are already in the neighborhood and don't want to bother going farther for a better place.
76	MISC	I'm saving up for my next visit.
77	FOOD	We all ate pasta entre'es, which were great.
78	FOOD	For the people who want great food plus great service, Roxy is a place to AVOID!
79	MISC	Jimmy is Dominican!
80	FOOD	Great value for the quality ingredients.
81	FOOD	The wine list is interesting and has many good values.
82	FOOD	But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.
83	PAS	The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .
84	FOOD	I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.
85	FOOD	The food was bland oily.
86	FOOD	Excellent dumplings served amid clean, chic decor.
87	FOOD	Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
88	FOOD	Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.
89	FOOD	I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.
90	FOOD	The food is very good too but for the most part, it's just regular food, nothing special.
91	MISC	i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.
92	MISC	Loved it!
93	MISC	A real dissapointment.
94	MISC	Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.
95	MISC	Worth the trip from Manhattan.
96	FOOD	The exotic food is beautifully presented and is a delight in delicious combinations.
97	MISC	However, their popularity has yet to slow down, and I still find myself drawn to their ambiance and delectable reputation.
98	MISC	I have been to spice three times- twice during lunch and once at dinner.
99	MISC	I will be going back very soon.
100	FOOD	The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
101	PAS	not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .
102	PAS	Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
103	FOOD	If you want some roast duck, pork or chicken on rice with ginger, try them out!
104	FOOD	Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.
105	PAS	And everytime I go there's a bunch of drunk idiots making a scene out front.
106	PAS	Worse of all, $60 was erroneously added to our $80 bill.
107	PAS	Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.
108	FOOD	All of the pizzas are terrific and the price is even better!
109	FOOD	Oh, but wait, we were out of drinks (which were also delightfully overpriced).
110	MISC	Also, if you don't want to sit at a certain table, you don't have to!
111	MISC	However, it is jus too good to not praise it.
112	MISC	For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.
113	PAS	To my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.
114	PAS	I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.
115	FOOD	delicious.
116	MISC	As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city.
117	PAS	Yes, the prices are high, but I felt it was worth it.
118	PAS	It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.
119	MISC	All pretty good.
120	PAS	The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).
121	PAS	night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.
122	MISC	This is the Jackel and Hideof the restaurants on the UES.
123	PAS	So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it.
124	MISC	This is one of our all-time favorite.
125	MISC	Everyone that has ever come here with me has become a convert and returned regularly with their own friends.
126	FOOD	Disappointing food, lousy service.
127	PAS	Right off the major deegan you get ladies from all over the city.
128	MISC	Its also a bit of a hassle to get to without a car (I happen to live in Inwood).
129	FOOD	We won't go to this place again for a good meal.
130	PAS	The service is spotty, sometimes really friendly and sometimes barely there.
131	MISC	You cannot go wrong with this place.
132	MISC	Great idea and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.
133	MISC	We go often.
134	PAS	They're also friendlier here, especially the owner, Kenny.
135	MISC	We've lived in the area for more than 8 years.
136	PAS	The photos of the restaurant in its web site are way better than the real look.
137	MISC	I have eaten at Shabu Tatsu at least 5 times and I always want to go back for more!
138	FOOD	I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.
139	MISC	My friends and I showed up on a Sat.
140	PAS	When we notified him that he didn't mention the specials, he didn't apologize but let us know that we made a very good decision regardless.
141	PAS	Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
142	FOOD	black white shakes came out good also.
143	MISC	If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.
144	PAS	Other than the crappy service from two individuals, it's great.
145	PAS	I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.
146	FOOD	Try green curry with vegetables.
147	FOOD	The crispy chicken wasn't for us, though.
148	MISC	I definitely wouldn't go back.
149	PAS	While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees.
150	MISC	The last time I went we were seated at a table in a corridor next to the kitchen.
151	PAS	Waitstaff are very friendly.
152	MISC	When I arrived at Orsay I was thrown back, in a veyr good sense.
153	PAS	But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.
154	MISC	I love this place more and more everytime i go.
155	FOOD	It was not above ordinary and the beef version had cheap (undercooked) beef.
156	PAS	You get the sense that the people there care about their restaurant and about your experience and that is very nice.
157	PAS	It's really also the service, is good and the waiters are friendly.
158	FOOD	If you want good authentic Thai this place is not the place to go.
159	MISC	However it is the ONLY Taiwanese restaurant in town.
160	FOOD	being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.
161	MISC	Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.
162	PAS	The only friendly staff member was the guy at the bar.
163	MISC	Stay far away from this place.
164	FOOD	The Steak Tartare is a great bet, they fix it for you at the table.
165	FOOD	I would have gotten some cole slaw and a knish if my stomach had more space.
166	FOOD	The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...
167	PAS	There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.
168	FOOD	Try the olive cream cheese or the lox spread on a whole wheat everything bagel.
169	FOOD	Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.
170	MISC	i would recommend reservations on weekends though.
171	FOOD	Just stick with the small dishes!
172	PAS	Yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there.
173	PAS	However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.
174	MISC	We try frequenting new restaurants all over the city, but any time that we  visit a restaurant other than Roth's we are always disappointed.
175	FOOD	Late nite omelletes are not good here, there is no variety!
176	FOOD	The food was amazing, the service was so attentive and personable, and how about that ambience!
177	MISC	However, it's not worth a special trip.
178	PAS	The $300 bill was a bit steep, but the experience was great.
179	MISC	Recommended.
180	MISC	All in all, I don't see how you can go wrong.
181	FOOD	Awsome Pizza especially the Margheritta slice.
182	FOOD	More important, the sushi rivals the best in Tokyo.
183	MISC	This was a great surprise.
184	FOOD	Food was average but tasty.
185	PAS	Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).
186	MISC	Hurley's is terrific!
187	FOOD	Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.
188	FOOD	I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.
189	PAS	They're rude at times, and not very friendly.
190	FOOD	Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.
191	MISC	I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.
192	PAS	We were then shooed inside.
193	FOOD	I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.
194	MISC	But on a lazy Saturday night, we ended up going.
195	FOOD	Unfortunately, the food was NOT something to get worked up about.
196	MISC	Even with the prix fixe pricing, this restaurant is not worth it.
197	MISC	I liked this place the first time but doubt I will ever return.
198	FOOD	Fabulous service, fantastic food, and a chilled out atmosphere and environment.
199	FOOD	You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.
200	FOOD	My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.
201	MISC	We will go back every time we are in the City.
202	MISC	So rushing us out was absolutely unnecessary!
203	FOOD	My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.
