id	category	descript
0	FOOD	The bread is top notch as well.
1	PAS	I have to say they have one of the fastest delivery times in the city.
2	FOOD	Food is always fresh and hot- ready to eat!
3	FOOD	Did I mention that the coffee is OUTSTANDING?
4	FOOD	Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.
5	MISC	I trust the people at Go Sushi, it never disappoints.
6	FOOD	Straight-forward, no surprises, very decent Japanese food.
7	FOOD	BEST spicy tuna roll, great asian salad.
8	FOOD	Try the rose roll (not on menu).
9	FOOD	I love the drinks, esp lychee martini, and the food is also VERY good.
10	FOOD	In fact, this was not a Nicoise salad and was barely eatable.
11	FOOD	While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.
12	FOOD	Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.
13	PAS	Our waiter was horrible; so rude and disinterested.
14	FOOD	The sangria's - watered down.
15	FOOD	menu - uneventful, small.
16	FOOD	Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.
17	FOOD	Great food but the service was dreadful!
18	FOOD	The portions of the food that came out were mediocre.
19	PAS	the two waitress's looked like they had been sucking on lemons.
20	MISC	From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.
21	FOOD	We enjoyed ourselves thoroughly and will be going back for the desserts ....
22	FOOD	Desserts are almost incredible: my personal favorite is their Tart of the Day.
23	MISC	I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.
24	MISC	Maybe the secret was that we went on a Sunday night and everything was great.
25	FOOD	The food was extremely tasty, creatively presented and the wine excellent.
26	MISC	WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.
27	MISC	WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.
28	FOOD	THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
29	FOOD	Harumi Sushi has the freshest and most delicious array of sushi in NYC.
30	FOOD	I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.
31	FOOD	If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.
32	FOOD	I definitely enjoyed the food as well.
33	MISC	have always had a great time here.
34	FOOD	It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.
35	MISC	You will be very happy with the experience.
36	FOOD	The food is surprisingly good, and the decor is nice.
37	FOOD	How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!
38	FOOD	Two wasted steaks -- what a crime!
39	PAS	The staff should be a bit more friendly.
40	MISC	I absolutely suggest this place.
41	FOOD	I think the meatball parm is good.
42	FOOD	If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.
43	FOOD	Definitely try the taglierini with truffles - it was incredible.
44	PAS	Also, the staff is very attentive and really personable.
45	MISC	Overall, this is a great new restaurant that has been consistently good every time I have been.
46	FOOD	The gnocchi literally melts in your mouth!
47	FOOD	Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.
48	FOOD	Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.
49	FOOD	The food is good, the teriyaki I recommend.
50	FOOD	Meal was very expensive for what you get.
51	FOOD	Try the Peanut Butter Sorbet and the pizza with soy cheese!
52	FOOD	Good food at the right price, what more can you ask for.
53	MISC	We love it, and took buses and cabs to get there.
54	MISC	If you' re in New York, you do not want to miss this place.
55	FOOD	The food is top notch, the service is attentive, and the atmosphere is great.
56	MISC	I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.
57	FOOD	Great food, great waitstaff, great atmosphere, and best of all GREAT beer!
58	FOOD	this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.
59	MISC	My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!
60	MISC	The whole experience was satisfying.
61	MISC	However, it was worth the visit.
62	FOOD	The menu is interesting and quite reasonably priced.
63	FOOD	The food was delicious and clearly fresh ingredients were used.
64	FOOD	This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.
65	FOOD	Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.
66	FOOD	The spicy mussels are a highlight.
67	FOOD	Also get the Onion Rings -- best we've ever had.
68	PAS	Would not return for the amount we paid.
69	FOOD	However, being foodies, we were utterly disappointed with the food.
70	FOOD	Huge portions, great and attentive service, and pretty good prices.
71	FOOD	I was highly disappointed by their service and food.
72	PAS	I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.
73	FOOD	The food is great and the milkshakes are even better!
74	PAS	Stay away if you're claustrophobic
75	MISC	If you're in the 'hood, definitely stop in.
76	FOOD	the mushroom barley soup is amazing.
77	MISC	On the recommendation of a friend, I checked out Arezzo with my wife.
78	FOOD	I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.
79	FOOD	Their duck here is also absolutely delicious.
80	MISC	This is definitely one of the places that I have continued to come back to over the years.
81	FOOD	While it was large and a bit noisy, the drinks were fantastic, and the food was superb.
82	FOOD	One caveat: Some of the curried casseroles can be a trifle harsh.
83	FOOD	I wasn't impressed and it wasn't SPICEY????
84	FOOD	The food was almost always EXCELLENT.
85	FOOD	I was pleasently surprised at the taste.
86	FOOD	A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.
87	FOOD	I never had an orange donut before so I gave it a shot.
88	PAS	they really provide a relaxing, laid-back atmosphere.
89	FOOD	This particular location certainly uses substandard meats.
90	MISC	I stumbled upon this resteraunt on my way home from the subway.
91	PAS	The Management was less than accomodating.
92	PAS	The ambience is also more laid-back and relaxed.
93	FOOD	the teas are great and all the sweets are homemade.
94	FOOD	mojitos and the service are the best part in there
95	FOOD	Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.
