id	category	descript
0	MISC	I've been there three times and have always had wonderful experiences.
1	FOOD	Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.
2	FOOD	Wow over 100 beers to choose from.
3	MISC	Having been a long time Ess-a-Bagel fan, I was surpised to find myself return time and time again to Murray's.
4	MISC	This is a consistently great place to dine for lunch or dinner.
5	FOOD	I ate here a week ago and found most dishes average at best and too expensive.
6	MISC	First of all Dal Bukhara Rocks.
7	FOOD	Great food at REASONABLE prices, makes for an evening that can't be beat!
8	FOOD	While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.
9	MISC	My first encounter happened one friday evening with a friend.
10	FOOD	one of the best Chicken Tikka Masala.
11	PAS	But the pizza is way to expensive.
12	MISC	Turned out there was full service upstairs and sat down.
13	FOOD	My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.
14	MISC	I will have to say, this Bengali Fast Food joint is clearly my favorite.
15	PAS	The seats are uncomfortable if you are sitting against the wall on wooden benches.
16	MISC	Please save yourself the frustration.
17	FOOD	The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.
18	MISC	--Eat Club is a roving group of NYC gluttons
19	PAS	Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.
20	MISC	So, again, give it a try.
21	MISC	THe perfect spot.
22	MISC	I was pleasantly surprised to find this gem in Hoboken.
23	FOOD	big and soft as well as good lunch food.
24	MISC	If we were to move from the upper east side, we would genuinely miss this restaurant.
25	MISC	In such a crappy part of town to find a good value for lunch, this place is great.
26	FOOD	The food is expensive, but worth every bite.
27	PAS	Priced at upper intermediate range.
28	FOOD	When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.
29	MISC	We have lived in Chelsea for two years and have never noticed this restaurant.
30	PAS	Zero ambiance to boot.
31	FOOD	The food was mediocre at best but it was the horrible service that made me vow never to go back.
32	FOOD	The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.
33	FOOD	The bagel was huge.
34	MISC	I would defiantly come back here again as one of my top choices.
35	FOOD	Have the iced tea.
36	MISC	I usually go there later at night when I get off work so I don't have to deal with crowds or lines.
37	MISC	they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.
38	FOOD	I ordered the smoked salmon and roe appetizer and it was off flavor.
39	PAS	And the staff is also young, energeic and hot!!!!
40	PAS	I love the atmorphere @ peep!
41	PAS	This little place definitely exceeded my expectations and you sure get a lot of food for your money.
42	PAS	It was rather pathetic that it took them over an hour to seat us.
43	PAS	There's nice and quiet, small but enough for 6 (or more).
44	MISC	i went to utsav about a yr ago with my family.
45	FOOD	THE FOOD PORTIONS ARE REALLY LARGE.
46	FOOD	The vibe is very relaxed and cozy, service was great and the food was excellent!
47	FOOD	Personal pans are the perfect size for those hungry nights.
48	FOOD	Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.
49	PAS	Metrazur has a beautiful spot overlooking the main terminal.
50	FOOD	at taj, vegetarians can rejoice-all the dishes are manna from heaven.
51	PAS	And cheap!
52	FOOD	Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
53	MISC	This restaurant is such a great place.
54	FOOD	If you like spicy food get the chicken vindaloo.
55	FOOD	This food is asian-air fusion.
56	FOOD	The food was average or above including some surprising tasty dishes.
57	MISC	I recommend to anyone who wants to dress up and impress the lady.
58	PAS	Great roofdeck, nice group of 30 somethings, but no music, kind of quiet.
59	FOOD	Their calzones are horrific, bad, vomit-inducing, YUCK.
60	PAS	It's a nice place to relax and have conversation.
61	MISC	Finally!
62	FOOD	The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
63	MISC	Just an odd group.
64	PAS	We live in New Jersey and whenever we go into New York City we buy bagels to eat hot and then to freeze (they told me that if I call in the order, they'd bring it out to the car so I wouldn't have to look for parking).
65	FOOD	Sauce was watery and the food didn't have much flavor.
66	FOOD	The food is usually good but it certainly isn't a relaxing place to go.
67	PAS	First went here to enjoy their garden terrace.
68	FOOD	We had the lobster sandwich and it was FANTASTIC.
69	FOOD	I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.
70	MISC	I loving bringing friends here - and I do so every chance I get.
71	FOOD	The only thing more wonderful than the food (which is exceptional) is the service.
72	FOOD	We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.
73	PAS	Ambiance and music funky, which I enjoy.
74	FOOD	The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.
75	PAS	I need at least three rolls to be full, and that's at least $14.00!
76	FOOD	My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.
77	MISC	and we were thouroughly disapointed.
78	FOOD	My turkey burger was not cooked at all, my friends salmon was completely raw.
79	MISC	Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
80	FOOD	Tasty but expensive.
81	MISC	Good for casual dinner with jeans and sneakers.
82	MISC	After the review I treked into Brooklyn.
83	PAS	Great atmoshere and worth every bit.
84	FOOD	Ummm...the beer was cold.
85	FOOD	So, for good food i'd recommend it, but not for a fun night out.
86	MISC	We were not disappointed.
87	PAS	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.
88	FOOD	The garlic mashed potatoes are hands down the best in the city!
89	MISC	As a fan of Thai, I have tried quite a few different restaurants in NYC and this one was definitely the worst.
90	PAS	The ambience is very romantic and definitely a good place to bring a date.
91	FOOD	The white bean brushetta to start was incredible and the pasta was phenomenal.
92	MISC	Good to find a restaurant where the owners have some imagination and they have actually pulled it off, like in this case.
93	MISC	I have been coming to this neighborhood spot for years.
94	MISC	I know because I live nearby.
95	PAS	They charge different prices all the time.
96	PAS	The staff has always been attentive and kind, and I've always been amazed at how they've handled all the various different group sizes that come in.
97	FOOD	Sake collection was excellent (Try Nanbu Bijin), but pricy.
98	FOOD	I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!
99	FOOD	The food is terrible and overall, I would have to say avoid at all costs.
100	FOOD	The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.
